#time susceptible exposed infected recover
         110      105585        1155      106522      882164
         111      105552         631      100496      888747
         112      105528         361       93628      895909
         113      105510         209       86412      903295
         114      105503         117       78728      911078
         115      105499          69       70981      918877
         116      105498          39       63248      926641
         117      105497          23       55411      934495
         118      105497          11       48010      941908
         119      105497           3       40849      949077
         120      105497           2       33972      955955
         121      105497           1       27455      962473
         122      105497           0       21452      968477
         123      105497           0       16138      973791
         124      105497           0       11796      978133
         125      105497           0        8151      981778
         126      105497           0        5423      984506
         127      105497           0        3489      986440
         128      105497           0        2113      987816
         129      105497           0        1252      988677
         130      105497           0         690      989239
         131      105497           0         379      989550
         132      105497           0         219      989710
         133      105497           0         137      989792
         134      105497           0          75      989854
         135      105497           0          38      989891
         136      105497           0          24      989905
         137      105497           0          12      989917
         138      105497           0           5      989924
         139      105497           0           1      989928
