 #time susceptible infected recover
         103      105496      230364      874748
         104      105496      218022      880919
         105      105496      204246      887807
         106      105496      189418      895221
         107      105496      174068      902896
         108      105496      158350      910755
         109      105496      142288      918786
         110      105496      126294      926783
         111      105496      110348      934756
         112      105496       93990      942935
         113      105496       77538      951161
         114      105496       61266      959297
         115      105496       46196      966832
         116      105496       32782      973539
         117      105496       21628      979116
         118      105496       13164      983348
         119      105496        7284      986288
         120      105496        3782      988039
         121      105496        1788      989036
         122      105496         794      989533
         123      105496         306      989777
         124      105496         102      989879
         125      105496          26      989917
         126      105496          12      989924
         127      105496           0      989930
           1     1095425           2           0
           2     1095425           2           0
           3     1095425           2           0
           4     1095425           2           0
           5     1095425           2           0
           6     1095425           2           0
           7     1095423           6           0
           8     1095421          10           0
           9     1095421          10           0
          10     1095419          14           0
          11     1095417          18           0
          12     1095417          18           0
          13     1095412          28           0
          14     1095406          40           0
          15     1095404          44           0
          16     1095402          48           0
          17     1095394          64           0
          18     1095379          94           0
          19     1095370         112           0
          20     1095343         166           0
          21     1095313         226           0
          22     1095277         298           0
          23     1095239         374           0
          24     1095172         508           0
          25     1095091         670           0
          26     1094978         894           1
          27     1094826        1198           1
          28     1094609        1632           1
          29     1094338        2174           1
          30     1094017        2816           1
          31     1093557        3736           1
          32     1092968        4914           1
          33     1092135        6574           4
          34     1091015        8812           5
          35     1089511       11818           6
          36     1087507       15822           8
          37     1085002       20830           9
          38     1081615       27602          10
          39     1077141       36534          18
          40     1071401       48008          21
          41     1063794       63218          23
          42     1053654       83488          28
          43     1040752      109266          41
          44     1024361      142024          53
          45     1003361      183984          73
          46      977105      236438         102
          47      945844      298900         132
          48      908170      374178         167
          49      864540      461334         219
          50      817309      555650         292
          51      767909      654262         386
          52      719324      751188         508
          53      674600      840248         702
          54      635268      918436         940
          55      601652      985078        1235
          56      572276     1043028        1636
          57      545642     1095202        2183
          58      519839     1145404        2885
          59      494368     1194466        3825
          60      468579     1243306        5194
          61      442834     1291350        6917
          62      417516     1337648        9086
          63      393391     1379858       12106
          64      370783     1417236       16025
          65      349503     1449796       21025
          66      329077     1476912       27893
          67      311562     1494528       36600
          68      296129     1502328       48133
          69      282421     1500560       62725
          70      270748     1486474       81441
          71      260606     1459116      105262
          72      251877     1419126      133986
          73      244241     1365762      168304
          74      237316     1298612      208804
          75      230597     1221324      254167
          76      223847     1138600      302279
          77      217071     1053610      351550
          78      209802      974664      398292
          79      202180      906030      440231
          80      194143      849386      476590
          81      185843      803144      508011
          82      177282      764152      536068
          83      168811      728604      562313
          84      160481      693994      587948
          85      151992      659828      613520
          86      143423      625114      639446
          87      135082      591262      664713
          88      127221      557444      689483
          89      120478      523886      713005
          90      114901      491192      734929
          91      110848      456732      756212
          92      108287      424256      775011
          93      106804      393936      791654
          94      106057      366208      806265
          95      105702      341760      818844
          96      105562      320152      829788
          97      105508      301610      839113
          98      105500      285042      847405
          99      105497      270776      854541
         100      105496      256920      861470
         101      105496      243476      868192
         102      105496      229904      874978
         103      105496      215842      882009
         104      105496      200776      889542
         105      105496      185392      897234
         106      105496      168984      905438
         107      105496      152050      913905
         108      105496      134846      922507
         109      105496      118100      930880
         110      105496      101180      939340
         111      105496       84088      947886
         112      105496       67332      956264
         113      105496       51162      964349
         114      105496       36558      971651
         115      105496       24192      977834
         116      105496       14732      982564
         117      105496        8308      985776
         118      105496        4110      987875
         119      105496        1834      989013
         120      105496         754      989553
         121      105496         276      989792
         122      105496          72      989894
         123      105496          20      989920
         124      105496           2      989929
         125      105496           0      989930
           1     1095425           2           0
           2     1095425           2           0
           3     1095425           2           0
           4     1095425           2           0
           5     1095425           2           0
           6     1095425           2           0
           7     1095422           8           0
           8     1095419          14           0
           9     1095419          14           0
          10     1095417          18           0
          11     1095416          20           0
          12     1095415          22           0
          13     1095409          34           0
          14     1095403          46           0
          15     1095392          68           0
          16     1095369         114           0
          17     1095355         142           0
          18     1095339         174           0
          19     1095312         228           0
          20     1095269         314           0
          21     1095222         408           0
          22     1095159         534           0
          23     1095074         704           0
          24     1094955         942           0
          25     1094786        1280           0
          26     1094584        1682           1
          27     1094272        2306           1
          28     1093913        3024           1
          29     1093460        3930           1
          30     1092828        5194           1
          31     1092005        6840           1
          32     1090835        9180           1
          33     1089272       12298           5
          34     1087192       16456           6
          35     1084588       21658           9
          36     1081053       28726          10
          37     1076476       37880          10
          38     1070446       49928          16
          39     1062436       65942          19
          40     1051942       86910          29
          41     1038064      114634          45
          42     1020871      148978          66
          43      998907      192884          77
          44      971956      246738         101
          45      938639      313302         136
          46      899397      391696         181
          47      854161      482066         232
          48      804459      581320         307
          49      752668      684724         396
          50      701249      787250         552
          51      652970      883464         724
          52      610075      968738         982
          53      572395     1043396        1333
          54      539253     1108834        1756
          55      509181     1167900        2295
          56      481343     1222184        2991
          57      455411     1272002        4014
          58      431206     1317736        5352
          59      408506     1359448        7196
          60      387631     1396546        9522
          61      368118     1429368       12624
          62      349769     1458002       16656
          63      332404     1482190       21927
          64      316549     1499796       28979
          65      302147     1510264       38147
          66      289016     1512230       50295
          67      277671     1504038       65736
