time average_recover sd_R av_Infected sd_I
67 215136.10000000001 48394.221810976589 475349.90000000002 23121.164630917367 
68 253860.00000000000 52394.066826311529 456769.09999999998 27760.996172508305 
69 294798.70000000001 55294.623811090387 434545.29999999999 31562.079063490059 
70 336778.59999999998 56407.565987551832 409875.70000000001 33784.858522864546 
71 378555.90000000002 56195.576241284027 384223.59999999998 34886.104139614225 
72 418865.50000000000 54525.746819736451 358647.90000000002 34741.304317627269 
73 456934.50000000000 52031.358658505218 334288.09999999998 34122.747991479533 
74 492196.59999999998 48982.240275839089 311592.50000000000 33088.868966013280 
75 524750.80000000005 45935.424904532149 290488.90000000002 32352.991594132316 
76 554696.50000000000 43105.193232950762 271126.90000000002 32036.053007353730 
77 582507.90000000002 40678.882645544458 252924.29999999999 32206.791299507084 
78 608616.59999999998 38428.025674499469 235606.79999999999 32478.289477126109 
79 633154.69999999995 36362.443166129662 219147.60000000001 32799.070283164961 
80 657176.69999999995 34179.173767223139 202656.70000000001 32779.401282055107 
81 679629.09999999998 31984.718286863412 187354.70000000001 32592.387921261554 
82 700594.69999999995 29878.688562419920 173324.70000000001 32201.389560234769 
83 719938.50000000000 27843.765378447151 160862.70000000001 31439.029228174233 
84 738007.59999999998 25776.507394138243 149760.00000000000 30351.064831402564 
85 754756.40000000002 23724.858828662003 140144.89999999999 28932.212433376069 
86 770185.09999999998 21732.013374053473 131995.10000000001 27292.822596609480 
87 784426.30000000005 19725.987118771434 125205.70000000000 25196.893455543275 
88 797524.19999999995 17977.888095104703 119552.30000000000 23110.244957810341 
89 809547.19999999995 16455.491641395409 114971.00000000000 20917.557519940045 
90 820555.09999999998 15405.001762091397 111319.10000000001 18553.129538975321 
91 830682.00000000000 14848.216936721768 108354.60000000001 16113.156991725671 
92 839843.80000000005 14968.839399230688 106092.80000000000 13810.863237321577 
93 848266.09999999998 15716.349292697967 104177.20000000000 12043.049628727793 
94 856067.09999999998 16984.465157609866 102515.10000000001 11010.408806670088 
95 863449.19999999995 18631.828781956210 100672.50000000000 11209.672102697725 
96 870459.59999999998 20439.572922155501 98546.300000000003 12536.189269869845 
97 877383.19999999995 22288.495928620483 95826.600000000006 14588.923566870801 
98 884265.30000000005 24062.255904423444 92450.399999999994 16943.693105105565 
99 891337.09999999998 25650.376525309268 88287.100000000006 19269.636329988145 
 100 898564.00000000000 26947.213202853174 83321.500000000000 21363.350005324533 
 101 905915.90000000002 27882.568642253278 77762.399999999994 23154.142317088761 
 102 913377.19999999995 28461.531539255906 71651.399999999994 24554.070111490699 
 103 920823.69999999995 28624.152015563839 65234.000000000000 25503.738024062273 
 104 928219.59999999998 28339.331555984856 58596.699999999997 25938.700210496288 
 105 935473.59999999998 27567.429772105890 51914.800000000003 25799.721776794409 
 106 942508.40000000002 26380.477225400842 45288.500000000000 25129.660531929192 
 107 949199.30000000005 24941.506967501715 38871.699999999997 24078.598804955411 
 108 955554.50000000000 23192.258998423400 32706.099999999999 22616.673806950483 
 109 961375.00000000000 21240.126261394387 27006.900000000001 20863.092270562385 
 110 966587.90000000002 19165.391728059352 21877.299999999999 18927.620664256774 
 111 971123.69999999995 17013.333347998192 17394.000000000000 16869.420725087155 
 112 974955.90000000002 14887.973464843782 13592.400000000000 14798.973121132425 
 113 978174.00000000000 12802.823907247963 10395.799999999999 12750.913487276117 
 114 980752.30000000005 10713.602457156292 7832.3999999999996 10688.956751713424 
 115 982788.50000000000 8750.2191886818237 5803.8000000000002 8740.1583944457198 
 116 984339.19999999995 6974.7177835491129 4260.3000000000002 6978.5363945457784 
 117 985539.19999999995 5360.3851316982664 3064.1999999999998 5371.3164829490361 
 118 986432.40000000002 3989.6688634540396 2173.5000000000000 4003.9753308430859 
 119 987098.50000000000 2873.9226590065314 1509.0999999999999 2891.4818156094293 
 120 987593.19999999995 1976.6103207530366 1015.4000000000000 1996.3410129534482 
 121 987931.90000000002 1321.2215900409115 677.10000000000002 1341.7421100941863 
